text,color,stroop_color_match(yes=1),table_row,pressed_key,"status(correct=1,wrong=2,timeout=3)",response_speed[ms]
green,yellow,0,9,1,3,2000
blue,blue,1,15,3,1,1365
green,yellow,0,9,1,3,2000
green,green,1,10,1,3,2000
yellow,green,0,2,2,1,1360
blue,red,0,16,1,1,1338
yellow,yellow,1,1,4,1,1693
yellow,yellow,1,1,4,1,789
green,blue,0,11,3,1,1548
red,red,1,8,1,1,1093
blue,blue,1,15,3,1,900
yellow,green,0,2,2,1,1323
blue,red,0,16,1,3,2000
red,blue,0,7,2,2,1882
yellow,green,0,2,1,3,2000
yellow,blue,0,3,3,1,1416
green,red,0,12,1,1,1350
yellow,blue,0,3,3,1,1819
yellow,green,0,2,2,1,1443
green,green,1,10,2,1,1385
blue,green,0,14,2,1,975
blue,yellow,0,13,4,1,1228
green,yellow,0,9,4,1,1109
blue,green,0,14,2,1,1110
green,green,1,10,2,1,905
blue,yellow,0,13,4,1,1633
yellow,red,0,4,1,1,1014
green,yellow,0,9,4,1,1201
yellow,green,0,2,2,1,1141
blue,green,0,14,1,3,2000
yellow,blue,0,3,3,1,1252
red,green,0,6,3,2,1850
red,red,1,8,1,1,1019
red,yellow,0,5,4,1,1381
red,blue,0,7,3,1,935
green,green,1,10,2,1,981
blue,red,0,16,1,1,1620
blue,blue,1,15,3,1,1248
green,red,0,12,1,1,1442
blue,blue,1,15,3,1,1076
red,red,1,8,1,1,989
red,green,0,6,3,2,1935
blue,blue,1,15,3,1,685
yellow,yellow,1,1,4,1,991
blue,green,0,14,2,1,1320
red,yellow,0,5,4,1,1198
red,red,1,8,1,1,890
green,blue,0,11,3,1,1177
yellow,red,0,4,1,1,1492
red,yellow,0,5,4,1,1087
blue,red,0,16,1,1,851
green,green,1,10,2,1,1146
red,green,0,6,2,1,983
yellow,blue,0,3,3,1,1092
green,red,0,12,1,1,923
green,blue,0,11,3,1,905
red,green,0,6,2,1,1442
blue,red,0,16,1,1,903
blue,red,0,16,1,1,713
green,blue,0,11,3,1,1224
red,blue,0,7,3,1,1064
green,yellow,0,9,2,2,1020
green,green,1,10,2,1,811
yellow,yellow,1,1,4,1,612
yellow,red,0,4,1,1,1072
red,blue,0,7,3,1,1359
yellow,red,0,4,1,1,973
red,blue,0,7,3,1,1324
green,red,0,12,1,1,1039
green,yellow,0,9,1,3,2000
green,red,0,12,1,1,826
yellow,green,0,2,3,2,1733
blue,green,0,14,2,1,825
green,blue,0,11,3,1,1244
blue,yellow,0,13,4,1,948
red,blue,0,7,3,1,954
green,green,1,10,2,1,825
blue,blue,1,15,2,2,1061
yellow,yellow,1,1,4,1,941
yellow,yellow,1,1,4,1,835
yellow,blue,0,3,3,1,1872
green,red,0,12,1,1,810
blue,yellow,0,13,4,1,1062
yellow,blue,0,3,3,1,1513
yellow,red,0,4,1,1,871
red,green,0,6,2,1,1492
red,blue,0,7,3,1,1126
yellow,blue,0,3,3,1,868
blue,yellow,0,13,4,1,1237
red,blue,0,7,3,1,1043
red,green,0,6,3,2,1313
green,green,1,10,2,1,1017
blue,yellow,0,13,4,1,976
yellow,yellow,1,1,4,1,593
blue,red,0,16,1,1,899
yellow,green,0,2,2,1,1442
red,yellow,0,5,4,1,827
red,red,1,8,1,1,1041
yellow,red,0,4,4,2,773
yellow,red,0,4,1,1,703
green,blue,0,11,3,1,1573
red,red,1,8,1,1,1240
red,yellow,0,5,4,1,991
blue,green,0,14,2,1,1211
yellow,green,0,2,2,1,879
blue,blue,1,15,3,1,778
yellow,yellow,1,1,4,1,477
yellow,blue,0,3,3,1,1383
blue,blue,1,15,3,1,1056
green,red,0,12,1,1,899
blue,yellow,0,13,4,1,1094
red,yellow,0,5,4,1,625
blue,red,0,16,1,1,785
red,yellow,0,5,4,1,944
red,yellow,0,5,4,1,553
blue,yellow,0,13,4,1,635
green,blue,0,11,2,2,1375
green,yellow,0,9,4,1,1218
blue,green,0,14,2,1,1373
blue,green,0,14,2,1,631
